userName,score,at,content
Luhur Adi Prasmono,1,2026-05-05 09:43:39,"aplikasi ribet untuk dijalankan, tidak efisien"
Wawan,1,2026-05-05 00:24:43,daftar sdh 2 minggu masih belum dikirim password.di wa hanya suruh menunggu
Rvan Utama,4,2026-05-04 01:30:45,"Banyak yang komentar minus mungkin memang ada menu yang perlu disempurnakan, cuma dulu tahun 2023 KTP hilang urus via app ini sangat sat set das des cuma setengah hari aja dr input syarat surat kehilangan dan KK di app pagi, siang langsung diinfoin oleh app bahwa KTP bs diambil di kecamatan, keren 🔥 tapi sekarang bantuin tetangga kasus yang sama malah menu e-KTP di app sekarang g ada, udh DM, komen IG dan wa semoga segera dapat tanggapan dr adminduk."
Aris Ershi HP,3,2026-04-28 04:43:12,Menu e-ktp kok ga ada
Hendra Maulana,1,2026-04-13 01:31:15,"aplikasi ga jelas , kira kira habis berapa anggaran buat aplikasi ga guna ini ?. panduan tidak lengkap, udah nunggu lama , hasilnya di tolak , ini aplikasi bukan mempermudah warga , tapi meringankan petugasnya biar bisa duduk santai sambil ngobrol"
Mansyur Hidayat,1,2026-04-11 12:53:54,Tidak Membantu Malah Membuat Ribet Udah Daftar Beberapa Kali Selalu STATUS: DITOLAK
Wito Saja,5,2026-04-08 06:17:32,cepet banget prosesnya..2 kali pengjuan karena saya kurang teliti masih ada yang belum saya lengkapi...
Andri Yusia Tarigan,5,2026-04-08 02:58:14,"akhirnya ada peningkatan daripada sebelumnya, proses pindah data keluar daerah cepet juga 1 hari proses selesai. pertahankan. terimakasih"
Tukijo Joe,5,2026-04-07 03:43:07,sangat bagus
Erlan Ridha Iswara,1,2026-04-03 15:45:16,aplikasi GK berguna
Neesha Ajengseptiana,1,2026-03-31 22:41:26,"ini mau login kok susah, padahl NIK dan No KK sudah sesuai. terus gimana datang kesana bisa?"
Danang Nugroho,1,2026-03-30 02:19:31,"Hallo Kak, saya ingin reset password namun saya kehilangan akses ke email dan nomor wasap terdaftar saat pendaftaran akun. Boleh dibantu. terima kasih."
Zafir Satria,1,2026-03-29 02:58:47,daftar aja susah. error terus. gimana mau lanjut?
Romdhon Selamet,2,2026-03-27 04:04:33,"mau pengajuan cetak ulang eKTP yg rusak koq gak ada pilihanya, trs gimana ini caranya"
roiz hidayat,1,2026-03-03 03:37:08,"ribet.. harusnya persyatanannya dari awal di beritahukan.. jadi ndak bolak balik upload, kemudian di berikan contoh pengisisan formulir nya., tidak membantu malah memperlama., mana kadang nunggu sampe 2-3 hari, itupun masi ditolak.. gara2 pengisian salahlah, syarat yg kurang lah.."
Anadz Musakif,1,2026-03-02 08:33:06,"belum bisa cetak lewat aplikasi, tetap harus datang ke tempat dukcapil ( butuh perbaikan supaya di tambah fitur donwload dokumen yang sudah lolos, sama saja bohong daftar lewat aplikasi tapi cetak dokumen harus offline datang ke lokasi tidak bisa donwload dokumen lewat aplikasi ) seperti file bpjs/npwp bisa langsung donwload dokumen lewat aplikasi online, tidak harus datang ke lokasi offline BUTUH PERBAIKAN APLIKASI SI DENOK YANG KATANYA ONLINE BIAR MUDAH"
Diani Novita Sari,1,2026-03-02 06:32:04,ngasih bintang satu aja gak ikhlas bgt. aplikasi BUOSOK!!! udh coba upload foto kk berkali kali gak bisa. padahal ukuran maks 5mb sedangkan fotonya cuma 117kb. BUOSOK ERAM COK!!!
Dwi Supriyanto,1,2026-02-27 07:40:02,aplikasi tidak banyak membantu.tolong di perbaiki.permudah dlm mengakses perubahan data dlll
Wulandari Kusuma,1,2026-02-25 04:02:41,"pilihan pelayanan tidak lengkap ,biasanya aplikasi pelayanan umum harus ada fax .tanya jawab ini kayak aplikasi tidak komunikatif ,mau pisah KK pilihannya alasan menikah padahal blm menikah ,enak off line drpd online tapi ngak jelas dan Kurang lengkap"
Lilis Lilisrahmawati,5,2026-02-24 11:27:46,gak ada menu e_ktp di apk yang baru
Prabowo Hadi,1,2026-02-17 04:24:26,malah ribet
Ray Alfafifah,1,2026-02-10 09:04:31,"DENGERIN KRITIK KITA!! sistemnya dibenerin lagi, di kasih jadwal rutin pengecekan sistem seperti ""sesuai ga KTP sama nama aslinya"", ""lupa kata sandi"", ""pendaftaran sudah ada (padahal ga pernah)"", aplikasi ini dibuat agar kita maupun para staff tidak dipersulit, bukan berarti tidak ada pengecekan secara rutin terkait aplikasi ini, kalian pindah job juga pengecekan rutin, kalau belum siap buat pindah ke sistem digital mending masih offline aja"
nisa 2006,1,2026-02-10 06:57:46,aplikasi habis di download sehari tdak bisa dibuka..
arief prasetyo,1,2026-02-09 05:38:15,seharusnya lampiran pakai legalisir photocopy sudah cukup karena harus mencari data tahun 1950 orang tua kerepotan. kan juga sistem sudah sinkron.
subkan presetyo SKP 15.2,1,2026-02-09 01:37:39,aplikasi masih tidak lengkap. susah bikin dokumen. mau ngurus offline di suruh online. tiba online gagal terus.
leftisa werdani,5,2026-02-03 11:22:06,"selalu urus akta lahir anak dan KK baru lewat sidenok. aplikasi ini sangat membantu , tidak perlu surat RT RW , tinggal foto dokumen tunggu 4-5 hari lgsg ada email masuk. padahal status di pengajuan masih proses. aplikasi no ribet ribet 👍👍👍👍"
Dwi Yadi,1,2026-02-02 09:04:15,unuseless
jeri Wahyu,1,2026-01-30 19:35:20,malah gak bisa dibuka
R&B,2,2026-01-28 11:36:23,"Aplikasi cacat, tidak bisa dibuka dan sering eror, tidak membantu sama sekali. Ujung²nya harus urus sendiri ke Dukcapil nya"
Isti Comah,2,2026-01-27 12:33:14,"ngurus akta kematian org tua,yg beda KK sendirian ....ribet bgt,Krn nik terkunci otomatis dll..data pelapor gmn ngisinya NIK-nya klau SDH terkunci...pengen LBH praktis digital tapi LBH ribet ,pdhl ngisi data perlu meluangkan waktu,apalagi yg ngisi pelupa dan S..terus pegawainya"
Ayu Liana,2,2026-01-26 08:26:18,"kalau dari kemajuan era digital ini sudah bagus, mungkin saya bisa kasih bintang 5 tapi pada masalah prosesnya untuk verifikasi terlalu lama, kalau untuk pelayanan online seharusnya bisa lebih cepat daripada manual, apalagi kalau sekarang ke kelurahan saja sudah diminta dialihkan ke online katanya tidak bisa kalau manual."
roni fauzan,1,2026-01-26 03:45:51,proses lambat
Tirta Adi Wijaya,1,2026-01-21 23:05:32,Kesalahan saya sendiri adalah Nama lengkapnya salah dan tidak dapat diubah yah blunder yang sangat fatal
Rupiah Ku,1,2026-01-21 03:02:49,sekarang tambah sulut mau ambil di ambilkan orang lain gak bisa padahal data di bawa asli semua
Hendy JP,1,2026-01-15 10:39:13,aplikasi tidak sesuai harapan. pembuatan KIA via aplikasi hanya mendapat kode pelayanan. tidak ada barcode baik di email maupun WA. petugas dukcapil hanya melayani yang membawa berkas berupa barcode
rasnalia Salsabila,1,2026-01-09 05:44:50,"aplikasinya bisa di gunakan tidak sih, login dari kemarin tidak bisa terus, sampe hp 3 tak coba semua tetep gak bisa login nanti kalo offline suruh daftar online ganti an online sudah buat login"
mohammad rizky rhomadhon,1,2026-01-08 11:18:55,aplikasi bapuk. sekelas pemerintah dana elit. aplikasi bapuk. yg paham2 saja. untuk masuk buka saja gagal trus. . engk jelas.
Iksan Mistari Santoso,1,2026-01-07 03:23:11,"aplikasi tidak berguna sama sekali , untuk daftar / login saja tidak bisa."
harun PTK,1,2026-01-06 04:42:27,lupa password ribet urusannya.. aplikasi pemerintah kok gini.
Yohana Oktaviani,1,2026-01-06 00:49:44,ini cara ngurus KTP rusak gimana ya kok di menu cuma ada playanan akta kelahiran akta kematian kartu Identitas anak perubahan biodata kartu keluarga perpindahan keluar kedatangan akta cerai lainnya udah itu aja terus cara ngurus KTP rusak gimana tolong di jawab
Laras Anditia,1,2026-01-04 13:09:11,mau nyoret nama bapak yg meninggal dipersulit. padahal ngurus dari 2021. datang ke kantor langsung suruh ngurus online tapi ngurus online juga ga bener sistemnya bikin muak
Dodok Ndodok,1,2026-01-04 10:56:11,Iki piye
Lila Yuliana,5,2026-01-04 00:42:02,Ngurus pindah kedatangan lewat aplikasi ini. Asalkan syarat lengkap semua proses jadi sat set. Hemat waktu. Semoga semakin berkembang aplikasi ini.
eL 05,2,2026-01-03 10:16:08,kenapa aplikasinya tidak bisa dibuka ya...
Ar. Nidho,1,2026-01-03 01:27:58,"barusan download tapi gak bisa dibuka ciman layar putih terus keluar sendiri, piye ki"
Arini Tika,1,2026-01-02 22:41:04,kenapa tidak bisa d buka
Nuroh Oh,1,2026-01-02 14:35:46,"sering eror dan sudah di uplod harus di uplod lagi , tdk menyelesaikan masalah"
Wichayo “Wichay”,1,2025-12-23 07:41:56,"aplikasi ga ada gunanya!! yg berdomisili diluar kota tdk bisa memperbaharui ktp yg rusak lwt aplikasi ini, hrs dtg lsg ke dukcapil..trs apa gunanya aplikasi ini??? ngabisin duit anggaran aja wkwkwk"
nosi bayu asmara,1,2025-12-23 03:27:40,"SAYA SANGAT TERKENDALA DI BAGIAN UPLOAD FOTO YG DIBATASI 5 MB SAJA. TOLONG NAIKKAN LAGI !!! (foto2 dukumen Saya, lebih dari 5 mb semua) terima kasih."
Pratita Dea P,1,2025-12-18 02:24:33,gagal login
Pebisnis Muda,1,2025-12-10 05:25:22,gak bisa masuk . password gak bisa di perbarui
zevanya Sayla,1,2025-12-08 06:45:07,baru login aja ribet! masukin no nik Dan password dah bener ttp tdk bisa. di ulang2 malah tambah ngelu!!! sangat tidak membantu. sekian terimakasih.
Taufiq Qhusyam,1,2025-12-01 07:47:35,aplikasi pemerintah se bosok ini
Ega Anugrah,5,2025-11-28 05:10:14,"sangat terbantu, mengurus kk fan akta kelahiran sangat cepat. 1 hari saja keren 🤘👍🏻"
gerry arya,1,2025-11-26 16:19:21,"aplikasi mawut. nggak jelas, susah, dikit2 pakek aplikasi. trs gunanya pns buat apa kalo semua pakek aplikasì.mana aplikasi nya nggak jelas. 🐶"
Kartika Kusuma,5,2025-11-26 03:36:49,"banyak ulasan buruk, tapi saya buat kk baru super sat set prosesnya cepat dan mudah sekali , saya upload dokumen tgl 23 malam, tgl 25 siang sudah jadi , barcode dikirim email dan bisa cetak sendiri , sangat membantu dan hemat waktu 👍 terimakasih untuk para petugas yg bekerja 🙏"
Yhogi Mulyo,1,2025-11-24 08:50:24,akun saya keblokir 403
adil jersey,1,2025-11-24 02:09:35,tidak ada perubahan
Syukur Pranoto,5,2025-11-21 15:52:35,"aplikasi sangat membantu pengajuan akte anak jam 8.54 pengajuan dikirim, 9.13 langsung di proses, besok nya akte, KK sama KIA langsung jadi 👍👍👍"
Fiant LeoPratama,5,2025-11-20 03:10:32,dr ulasan hampir buruk semua... tp ttep optimis nyoba aplikasi buat pembhruan KK Ke sistem barcode mudah . dan 2 hari proses . dan lgsung jadi. menghemat waktu dan biaya . hasil d kirim ke email. bs cetak sendri .... terimakasih ... 🙏(GRATIS)
Gaby Jade Mortar dan Konstruksi,1,2025-11-05 03:19:59,"ga membantu sama sekali, sudah dimasukin semua dan benar semua, giliran masukin foto kk ga bisa, foto tak terbaca sudah difoto ulang dan terbaca baik pas di unggah dibilang tidak bisa karena lebih dari 5mb, mending diperbaiki lagi dech aplikasinya error g bisa dihapus pula, udah ribet lemot g bisa baca foto lah. Akan bingung pada akhirnya. nyesel udah download."
Enik Priati,5,2025-10-29 14:44:23,baik banget
Catur Riyani,2,2025-10-29 14:26:42,aplikasi tdk bisa dibuka
Frozen Food,1,2025-10-29 00:43:35,"Di menu aplikasi s'dnok kok tidak ada menu pelayanan e-KTP.. halo halo halo pengembang katanya suruh online semua,kok menunya tidak lengkap, kalo tidak siap pelayanan online,tidak usah pakai online online."
Mochammad Zainil Achyar,3,2025-10-28 13:06:13,"lebih cepat sebelum ada apk ini. sekarang lambat kalau digunakan sebagai perorangan yang kurang fasilitas seperti scan, file harus Jpg/jpeg, baca buku panduan dulu/ lihat youtube, belum lagi kalau ada penolakan karena tidak ada catatan penting maksud dari upload tujuan file. contoh uload lembar 1 buku nikah- sy kira cuma 1 halaman saja yang diminta ternyata harus sampai ttd. dari KUA."
Azucena Naira,1,2025-10-28 05:48:57,aplikasinya nggak ngebantu malah bikin rumit
anggtngrh_,1,2025-10-15 07:15:25,kecamatan ungaran gk ada...
Syamsul Arifien,1,2025-10-14 06:04:38,"peraturan yang bikin ribet warga, aplikasi buruk, kinerja kurang profesional"
Moch Anis,5,2025-10-10 13:20:53,"aplikasi ini sangat membantu untuk mengurus surat Kependudukan . pelayanan cepat dan responsif , terimakasih atas aplikasi yang inovatif ini, disdukcapil semarang semakin maju,💪"
semarang faans,1,2025-10-06 23:34:59,kenapa buat login mendaftar susah banget (terjadi kesalahan terus padal mau daftarin org tua) dan di akun saya pun sudah terdaftar saya logout dan lalu mau login lagi tidak bisa ????
yudi,2,2025-10-06 01:22:53,donlod lewat iphone susah donlod lewat iphone susah
Rizki Rizal,1,2025-10-05 02:41:38,"1. Mau daftar, ada notif ""nik dan email sudah terpakai "" 2. Lupa pasword ada notif ""suruh periksa lagi Nik nya"" perbaiki hal² yang harusnya ga jadi ribet. udah jaman digital, pengurusan harus bisa full digital, tapi kalo untuk daftar biar masuk ke aplikasinya aja udah ribet. brati harus ada perbaikan lagi untuk aplikasi nya"
Toni Setiawan,1,2025-09-30 05:01:05,"aplikasi tergoblok, mempersulit, padahal udah bener semua"
Rully Novaliandri,3,2025-09-24 13:48:54,terkadang aplikasi susah untuk dibuka
Op Po,2,2025-09-24 12:31:31,ini gimana ga bisa diakses aplikasinya?
Tri Rofiah,5,2025-09-24 12:00:47,kok di buka gak bisa aplikasi si dnok nya
Rike Adelia,3,2025-09-24 10:52:44,ini kenapa ga bisa dibuka ya?
Cholit Mawardi,5,2025-09-24 10:40:06,best oke....
maulana surya,5,2025-09-18 05:27:57,cara membuat KK baru untuk pengantin baru gmna caranya ya ? minta tolong yg sudah bisa
Ulinnuhaem,5,2025-09-16 09:16:17,"mantap prosesnya cepet, ketika ditolak ada pemberitahuan lewat email untuk di revisi, tidak perlu langsung ketemu orang capil di kecamatan, hanya ngurus persyaratan di RT/RW dan kelurahan untuk mendapat surat keterangan lahir, setelah diterima pengajuan, barulah diemail pemberitahuan jika sudah selesai dan mendapat barcode dan kode, untuk cetak dokumen di mesin ADM,"
mifuda gaming,1,2025-09-15 09:32:11,online bukannya mempermudah malah mempersulit proses
Semarang,1,2025-09-15 09:01:15,aplikasi nya susah payah bikin pusing kembalikan sistem seperti dahulu aja elektronik bikin pusing urus kematian
yuwono aji,5,2025-09-12 01:47:46,"tahun 2020 mungkin masih merintis, jd masi banyak yang harus di perbaiki, namun di tahun 2025 sudah sangat mantab,, 💪🏻💪🏻💪🏻"
Novita Nouvas,1,2025-09-11 11:10:04,"aplikasi yg sangat ribet 1. sudah upload data tp tdk dpt lanjut pengajuan. 2. diluar jam kerja tdk bisa akses terutama hr libur 3.data yg blm selesai pengisian tdk sengaja keluar sistem tersimpan di pengajuan belum kirim, tp tdk bisa di lihat jelas isinya dan tdk bisa di lakukan penghapusan numpuk2 banyak di sistem minimal bisa di lihat detail jadi bisa ada koreksian kedepan keduabelah pihak siapa tau ada yg typo salah ketik jadi ada tmbol edit 4. banyak menu tp sangat tdk membantu."
okky laricci,1,2025-09-07 23:04:58,aplikasi tidak bisa dibuka
Unknow Video,1,2025-08-31 12:56:46,gak lengkap tidak ada kab Ungaran. jadi lebih susah
Tutus Cloud,5,2025-08-29 03:10:32,ok
Abdullah al chasan,1,2025-08-25 08:31:10,gabisa dipake
Ahmad Khoirudin,5,2025-08-25 02:21:01,baik
Muhammad Abu Kho,5,2025-08-22 17:52:28,"sangat mudah, kalau masih tidak paham bisa cari tutorial di youtube pun ada. setelah pengajuan hanya selang beberapa menit langsung proses, verifikasi dan langsung siap cetak dokumen. di kantor pun langsung diarahkan petugasnya, tidak perlu antri lama langsung print. semoga semua layanan publik online bisa dipermudah seperti ini. pertahankan dan tingkatkan"
Herlina Dewirosita,1,2025-08-20 13:26:29,sangat menyusahkan harusnya kan membantu tapi malah menyusahkan dg alasan karna fotokopi dokumennya yg penting kan datanya sesuai kenapa harus dipersulit
koko indra,1,2025-08-20 04:18:40,aplikasi pelayanan publik koq kayak gini..lemot banget.. gini amat ya BURUKnya..!
fuad sembung,1,2025-08-19 19:21:06,aplikasi tidak berjalan lancar (cacat)
Arman Noor,1,2025-08-15 07:55:14,"mau daftar gak bisa,padahal nik,no kk dll lengkap....trs kudu py...neng kecamatan jare kon online,neng online rk iso daftar....aku kudu pye neh cukkkkk..."
Darson S PD.,1,2025-08-10 14:31:51,"muser muser, TIDAK bisa dibuka. Percuma buat aplikasi begini, beaya proyeknya mesti guede.... (Katanya SI D'nOK - Sistem Informasi Dokumen Online Kependudukan Kota Semarang Aplikasi mobile service Dinas Kependudukan dan Pencatatan Sipil Kota Semarang, yang mempermudah akses layanan Administrasi Kependudukan secara digital, cepat, akurat dan transparan bagi sedulur warga Kota Semarang.) mana buktinya ????"
HENDRA CRISTANTO,1,2025-08-07 02:56:58,"aplikasi aneh daftar biaa , pas mau login diminta pass , tpi pass aku cek email , wa g ada notif pemberitauan pass"
Praditya Dewa,2,2025-08-05 05:29:37,Ini bagaimana ya ? saya ingin mengurus akta kelahiran anak tetapi dikolom nomor kk masih nomor kk saya yg dulu msh ikut orang tua dan tidak bisa diganti nomer kk yg ada dikolom tersebut sedangkan saya sudah punya kk sendiri .
paijo kucing,1,2025-08-02 00:14:08,aplikasinya jelek... sering error
Hary Sukses,2,2025-07-31 23:27:45,"mengapa setiap mau reset loading lama,dan tidak ada notif untuk aktifasi,tiba tiba nik dan no KK sudah tersimpan sendiri dan selalu ada keterangan tidak ada kesesuaian nik dan email ???? tolong dong setiap kendala di perhatikan ,agar masyarakat lebih mudah menggunakan,tidak ribet , apalagi buat kaum tua dan lansia..bikin pusing...ayoo Pemkot Semarang terus berinovasi,"
Abita Sajaqia,1,2025-07-30 12:21:24,"aplikasi tidak berguna, membuat rakyat tidak nyaman dengan kenerja dinas kependudukan dan pencatatan sipil kota Semarang"
Ilfa Wijaya,4,2025-07-19 05:32:52,"mantap, bermartabat"
Tri Wahyuni,4,2025-07-19 05:32:14,Bagus bagi yang paham cara menggunakannya
Ilham Backup,1,2025-07-17 02:07:35,"reset password sulit ""request time out"""
Berliana Ana,5,2025-07-13 23:41:52,oke
mitul,1,2025-07-10 08:46:13,"tahun lalu buat kk lewat aplikasi gampang banget, giliran sekarang mau login tp lupa kata sandi niatnya mau reset kata sandi trs masukin nik eh malah ga ke daftar ini gimana si aplikasi"
Alline Putri,1,2025-07-08 02:17:58,gabisa login
GoGoN,1,2025-07-07 12:56:14,ribet
Candra Novianto,1,2025-07-07 11:05:00,"bukannya mudah malah ribet, kita masyarakat yang ingin rapi data kependudukan malah dipersulit. Urus secara offline tidak bisa, urus Online ditolak trus. Lalu kami harus mengadu ke siapa untuk masalah ini???"
Revan Spoting,3,2025-07-07 09:32:28,"untuk pengajuan akte kan ada note upload berkas itu yg wajib hanya ktp ayah, SKL, sedangkan berkas buku nikah itu tidak ada note wajibNya, giliran tidak di upload kok kenapa saat ferifikasi DI TOLAK??! kalo memang buku nikah wajib di upload tolong revisi Notenya "" wajib di upload tambahi buku nikah juga jangan hanya ktp ayah, SKL, , , karena setelah pengajuan nunggunya Lama 1 mingguan... tolong itu di berkas tambahi UPLOAD WAJIB BUKU NIKAH juga biar gx di tolak lagi"
Doni Ariyanto,1,2025-07-07 02:08:48,pemerintah semarang ini sepertinya blm siap menerapkan sistim online percuma di buat klu di akses ga bisa aplikasi bobrok kyagini di terbitkan buat apa coba.....
Catur Skak,1,2025-07-03 06:10:18,"katanya semua urusan dukcapil harus online, admin tinggal klik verifikasi dan selesai, itu tidak nyampai setengah jam lah. tapi ya namanya juga aplikasi jadi kadang error, tapi ya masak gak ada pengecekan tiap jam kerja, apa perlu pegawai nya perlu peremajaan untuk sistem yang lebih baik, atau kurangnya anggaran yang masuk. yang bilang aplikasi ini membantu mempermudah iya betul,tapi tidak mempercepat terus gunanya online itu hanya sebatas mempermudah atau kah mempersulit jika warga tidak paham"
Desty awati,1,2025-07-02 01:20:10,"ngreset sandi timeout terus gimana mau pengajuan data, kalo apk kek gini mulu"
Yusuf Mahendra,1,2025-06-28 19:13:46,tidak bisa masuk
Pangkalan Sunardi,1,2025-06-28 15:14:51,"perbarui segera krn banyak kebutuhan masyarakat dg aplikasi ini, jangan dipersulit apalagi sampai menghambat banyak urusan warga Semarang"
John Valent Dee,1,2025-06-28 13:54:22,"aplikasi sering crash, giliran bisa masuk ngelag, ke kantor pun katanya semua online, tapi online ga mumpuni, menghambat pengurusan administrasi. notifikasi pengajuan ga pernah masuk, mau cek juga sering gagal masuk aplikasi. solusinya apa kalau kaya gini. katanya lebih cepat, malah makin lama karena kendala ini"
Rani Feri,1,2025-06-28 06:43:13,aplikasi nya gak bisa di buka
Dessy Yuliani,1,2025-06-28 06:42:58,"dibuatkan app online memang bagus dan mempermudah, tapi tolong diperbaiki sistemnya , sering eror"
singgih Wibisono,1,2025-06-28 05:25:24,"kenapa nggak bisa dibuka,sudah uninstal sampe instal lagi tetep aja nggak bisa dibuka,padahal saya sangat menunggu dokumen penting buat anak saya sekolah,tolonglah...."
Mohammad Taufik,1,2025-06-28 04:35:03,ini gmna ya lagi mau ngajuin TPI aplikasi tidak bisa dibukak . lha trus gunannya disuruh buat online tu apa kalo online aplikasinya tidak bisa dibukak
lina ari,1,2025-06-28 03:35:12,"nge-blank, baru buka aplikasi saja sulit bgt. Belum lagi nanti klo upload2"
Bayu Kuncoro Sejati,1,2025-06-28 02:54:06,"udah bawa berkas lengkap ke dukcapil malah disuruh daftar dari aplikasi ini, pas udh upload semua berkasnya, eh malah skrg error. busuk!"
Annas falaq Maharta,1,2025-06-28 00:57:44,aplikasi sering eror
0erip Djati,1,2025-06-27 19:34:55,"Aplikasinya Tiba tiba tdk bs di buka ,nge blank"
Roni Kurniawan,1,2025-06-27 15:42:00,"ganti walikota ganti kebijakan, semangat riwa riwi"
radenmas atmo175,1,2025-06-27 15:05:28,Aplikasinya ga bisa dibuka - klo ada pengurusan mendadak trs gimana...? Adakah alternatif lain utk mengurus pindah penduduk tnp hrs lewat aplikasi ini....?
Adhi Novianto,1,2025-06-27 13:40:12,"aplikasi bagus sekali tdk ada eror, tdk lemot, terbaik pokoknya.... tapi boong hahahaha"
Taufik Schwanstaiger,1,2025-06-27 10:28:59,"MAU NGURUS DATA HRUS ONLINE.. TP KETIKA DI AKSES GAGAL TRUS.. SERING BGEBLANK.. JARINGAN EROR... KALO BELUM SIAP DENGAN FASILITAS ONLINE YG BAIK.. MENDING KEMBALI LAGI KE POLA LAMA AJA.. TUJUAN NYA PENGEN PRAKTIS TP UJUNG""Y BIKIN KRITIS,,, EMOSI SENDIRI KALO PAS DAFTAR GK BISA"",,,"
Roni Hermawan,1,2025-06-27 03:45:23,"Aplikasi pelayanan publik lho ini... dibuka susah, banyak bug... payah!"
Cipto Leksono,5,2025-06-26 13:57:17,Layanan luar biasa super cepat......... Sangat mudah untuk update biodata KK dan pembuatan KIA.
Sonia Rista,1,2025-06-25 07:09:00,"sebenernya tujuan pembuatan aplikasinya bagus, buat mempermudah, tapi pengelola aplikasinya aja yang ga profesional, aplikasi sering error, sering gagal masuk, ngeblank dan banyak lagi kendalanya. sering2 dicek dong pengelola sering2 update juga buat ningkatin aplikasinya biar ga gampang error juga."
agus tri saputro,1,2025-06-25 05:58:43,"ngeblank, lemot"
Bayu Cahyo,1,2025-06-25 03:59:37,"lemot banget aplikasi nya,"
April Fitriyani,2,2025-06-25 03:18:19,"buat aku log in susah, kendala terus"
Okky Rista,1,2025-06-23 12:43:24,"Lemot parahhh gajelasss bgt, ngurus akta sampe 2minggu ga di verifikasi. Pdahal butuh bgtt nik anak."
Al Khansa Amru,1,2025-06-23 02:55:53,"Saran saya sebagai warga semarang, kalau memang belum mampu aplikasinya untuk skala kota semarang, coba diperbaiki dulu. server gagal terus ketika dibuka. Semoga segera mejadi aplikasi yg solutif buat warga semarang."
Christ GOLD,1,2025-06-23 02:25:17,aplikasi sering error dan sangat tidak bermanfaat dan mempersulit karena terlalu lama malahan
C_075_Zahra Cahyaningtyas,1,2025-06-20 03:28:16,"buruk, mau daftar akun aja susah"
Lazada jazz,1,2025-06-16 04:18:36,aplikasi sekelas milik pemerintah kok ancur gini susah lemot sering trobel..tolong di benahi.
pandi pras1,1,2025-06-14 12:12:04,"daftar gagal terus , mau dftar nomor sudah d pakai pdhl.jelas2 dftar gagal.terus . gmn bisa mau log in . sangat tidak membatu sistem tdk membantu"
