userName,score,at,content
ωoηgoρooηoηє,3,2025-06-12 03:15:22,"aplikasi bagus, gak ribet, simpel, mudah digunakan tapi sayang msh sering blank terutama kalo pagi di jam kerja dan menunggu hasilnya pun juga gak ada kepastian kapanya krn sering sangat lama bs berhari hari... istilah kayak dulu wktu mengurus offline sehari jadi sudah gak bisa lagi jadi yg buat urusan mendesak jangan harap sesuai harapan, kalo bisa satset jadilah biar semarang tambah hebatttt"
Mbhuyy,1,2025-06-11 07:39:54,burukkkkkkkkkk bgt ribet pdhl data udah komplit tapi banyak alesan di tolak terussss
Nurcahyaningsih Safitri,5,2025-06-11 05:09:55,cepat dan praktis
Sindu Aditama,1,2025-06-10 08:10:54,pengajuan surat kedatangan udh seminggu ga ada kemajuan ...
Siska Novitasari,2,2025-06-10 01:24:24,ini gimana sih mau masuk ke apl nya kok susah bgt . tlg dong
LABIB Lubab,5,2025-06-02 11:56:11,berguna bagi masa depan asyik
pemburu ikan SMG,1,2025-06-02 04:08:56,aplikasi ga guna gimna mau maju bangsa ini.. apa2 di buat ribet buka aplikasi aja lemot bangett sumpah ga berguna nie.. malah ribett buat ngurus surat2...
Rufi Luvi,5,2025-05-30 14:00:14,mudah cepat
Sisil Deden,1,2025-05-27 08:55:29,"malah makin parah di persulit mau bikin akteu ajj padahal saya sama anak saya ada hubungan darah gara"" pertama y nikah sirih padahal dinas di bayar oleh presiden untuk melayani rakyat bukan untuk mempersulit kan urusan"
Radithya,3,2025-05-27 02:47:21,"datang ke kelurahan minta pengantar perubahan KK tidak bisa karena harus diurus secara online, waktu online bingung karena tidak ada panduannya harus pilih menu yg mana dulu, setelah online diproses selama hari kerja, tapi nunggunya beberapa hari baru dapat balasan tidak bisa mendadak. mungkin adminnya perlu ditambah orang biar tidak lama memproses data yang masuk. karena kalau data ditolak pasti ngurus lagi dari awal tambah lama. menu cetak ulang KK dan akte kelahiran gak ada ya?"
Kristina Maya,1,2025-05-23 04:43:57,"Aplikasi buruk, notif ga bisa masuk, lemot, proses lama, cek status nggak update, katanya cuma 2 hari.. ditunggu smp 4 hari status nggak berubah. Status dalam proses terus,,, gak tau dahh diproses beneran apa kagak. 🤣😅 BENAR BENAR TIDAK MEMBANTU 👎👎"
Anisah aja,1,2025-05-23 01:27:38,mau tanya.. kan di pendaftaran tidak ada masukan kata sandi.. TPI kenapa waktu login harus Makai kata sandi ..kata sandinya dapat dari mana ya. bingung dengan aplikasi ini
Yusuf Sebastian,5,2025-05-22 03:51:51,bagus sangat membantu
Dafa Endhut,3,2025-05-21 12:55:43,aplikasi e koyo telek
Luthfi Anshari,1,2025-05-20 03:39:27,ga ada menu pengajuan KTP-el
irawan el afghani,1,2025-05-20 01:57:09,"sementara bintang 1, layanan publik tidak menampilkan standard jumlah hari untuk pelayanan nya, KTP berapa hari, KIA berapa hari, akta kematian berapa hari dll"
Aziz Abdul,1,2025-05-08 08:32:01,pingin ngurus sendiri ke kantor dateng ke kantor di suruh online ketika daftar gak bisa notifnya kesalahan saat daftar terus padahal data sudah sesuai semua masak harus lewat (CALO) langsung bisa di proses tanpa lewat online kan lumayan juga uangnya klo ngurus lewat ( CALO )
Muttaqin Muh,1,2025-05-05 03:43:59,ini tu data diproses kapan sudah dari tgl 02-05_2025 kok belum diproses...
Stefanus Adityatama86,5,2025-05-03 14:55:21,"meringankan, proses cepat dan bebas dari calo"
Jani Salian,1,2025-05-02 23:53:09,"aplikasi gak jelas, daftar akun dan login aja susah banget....lemooott.... lebih baik antri ngurus dikantor langsung biar ada kerjaan tuh orang kantor nyaa"
Johan Dwi,5,2025-05-02 05:14:35,"Bagus mempermudah pelayanan, ora riwa riwi.. Klu di aplikasi di buka ngeblank atau kosong ga ada menu, buka lewat playstore cari aplikasi trus buka. sy juga heran kenapa sering ngeblank apa kurang perawatan padahal apk nya sgt membantu. minta tolong lebih di evaluasi lagi untuk IT buat perawatan apk nya.. nuwun🙏🙏🙏"
gatot dwi,1,2025-05-02 04:56:26,"aplikasi erro, kapan mau diperbaiki"
Ryzqi Angelina,1,2025-04-28 14:54:50,Buat orang tua buat ngurus ini sangat sulit sedangkan jika datang langsung ke kantor langsung dijawab harus online online online dengan gayanya yg malas!
Bengkel Mobil,1,2025-04-28 05:47:33,"pak gurbernur, pak wali kota semarang, pak camat pak lurah, pak rt, pak wali muret, mbok yo di benahi aplikasine, wong yo wes reti rating bintang e elek kok ora lek ndang di penahi, pye to kih kok geding aku"
Avrilia Putri,1,2025-04-27 11:16:28,"Ketika ke kantor disuruh online tapi ketika online apk, lemot, server ilang2an terus ngleg juga, terus tiba2 keluar sendiri teros yok opoo ikii. Solusinya gmna ini ya allahh udah 2hari lohh gak bisa di akses apk nya"
Ubay Juhan,1,2025-04-27 07:21:30,"hari minggu, 27 April 2025, aplikasi tidak dapat diakses! apakah diluar jam kerja aplikasi tidak dapat diakses?"
Adi Liyas,1,2025-04-26 10:57:51,"aplikasi apa ini....mau daftar aja gak bisa masuk,,,bikin ribet"
Christo Adi,1,2025-04-26 10:54:40,"dari pagi aplikasinya ga bs dibuka, dicoba di web site pun ga bisa, kenapa....?? pdhl mau proses pengajuan kedatangan"
Dimas Achmad,1,2025-04-26 06:48:27,"gabisa dibuka dan banyak bug, niatnya mempermudah malah mempersulit"
Agung Wibowo,1,2025-04-26 05:37:45,"sering ngebug, tolong developer nya buka suara buat memperbaiki aplikasinya, kan ngga enak kalo sering ngebug+server down"
Angel Giska,3,2025-04-26 02:01:41,kenapa menu pengajuan ktp el ngga ada yaa di apk yg aku download
Musri Hartini,1,2025-04-25 09:09:40,tidak membantu sama sekali ribet dan aplikasi sering eror
paimin paimin,5,2025-04-25 03:50:08,mantabbb
Nana Rosa,1,2025-04-22 03:33:20,lemot bangeettttt... lebih baik kembali ke seperti dl datang ke kantor jadi
Sasa Ulfa,3,2025-04-22 02:58:13,"sering ngelag,selalu ngeblank lamaaaaa bgt keluar menunya,lama proses verifnya"
NS SUNG ADI,2,2025-04-21 06:49:22,Login & reset via aplikasi ini sll error; via web browser baru bs.
cukmi ningsih,1,2025-04-20 12:54:29,setiap pengajuan di tolok terus....minta dokumen asli itu sudah asli pada hal!!!!! terus saya hurus aplod yg asli gimana lagi stempel sama ttd udh jelas2 asli juga....Tolong dong di perbaiki sistemnya!!!!!!
Slamet Widodo,1,2025-04-17 23:40:36,Maaf takasih 1 bintang dulu soal belum normal dan banyak di perbaiki aqun nya.
Hanif Luqman,1,2025-04-17 04:45:12,NGELAAAAGGGGGGGG!!!!!!!!
Raissya allena,1,2025-04-17 04:45:03,aplikasi suka NGELAG !! GAJELAS !!!! GAKSUKA!!!! 😡😡😡😡 masa ngelag ber ribu ribu kali ga masuk logika !!! tolong dibenerin dong aplikasinya !!!! Saya emosi nih gara gara aplikasi INI !! jadi nambah dosa ada dech !!! 😡🤡👹👹👹
Satrio Haryo utomo,1,2025-04-16 03:06:24,TIDAK BISA LOGIIIIIIIIINNNN LEMOOOOOOTTTTT
Raihan Muhammad Farras,1,2025-04-14 03:02:09,ngeleg
AfIf channels,1,2025-04-11 01:33:58,"aplikasi kocak,, pdahal berkas udah asli semua ,udah di lampirkan semua,, masih di tolak..,"
Usna Aulia Dini,1,2025-04-10 08:58:41,boro2 mau login. bikin akun aja gagal terus GK bisa di apa2in kalau blm siap online jangan apa2 online malah dipersulit gini
Maulana Ainun Ni'am,3,2025-04-10 03:40:26,"admin wa ketika ditanya jawaban terkesan tidak benar, tidak menjelaskan justru menyarankan datang langsung ke kantor Disdukcapil kota semarang. padahal skrg sudah serba online masih disuruh ke kantor, padahal bisa dijelaskan via online"
Hamba Sahaya,5,2025-04-09 09:45:35,Masya allah cakep dan mudah
Adi P,1,2025-04-08 07:24:39,"Lemot banget, selalu blank screen, sering error, kok gt di suruh online, sedangkan Aplikasi ny aja Amburadul, Hadeh payah.. Sangat Kecewa."
Ely Ajaaa,2,2025-04-01 14:44:17,buat login doang susah banget 🤣🤣🤣
Tjan Linliang,1,2025-03-27 06:24:11,aplikasi tidak bisa digunakan login aja susah...aplikasi opo iki
Parna Tamba,1,2025-03-25 05:32:27,pelayanan nya lama
Ayu Kusuma,1,2025-03-23 13:44:06,"Mau daftar aja kaga bisa bisa, padahal butuh banget mau bikin surat pindah, aplikasi apa'an begini, katanya mempermudah klo lewat online, ini jelas mempersulit !!!!!!!!!!!!"
Point al fatihah,1,2025-03-17 09:13:52,"Padahal mau buat data penting, tapi malah error terus. MAUNYA SEMUA DI BIKIN SYSTEM INTERNET DAN MUDAH TAPI MALAH BUAT WARGA MENDERITA"
David Aryono,1,2025-03-17 05:09:29,aplikasinya gak bisa dibuka
Muhammad Fiqri,1,2025-03-17 02:12:40,"Aplikasi kocak, lupa password disuruh masukin nomor KK, padahal saya sudah pisah KK dengan ortu, sementara waktu awal regis akun masih jadi satu sama ortu. otomatis sekarang mau registrasi lupa password jadi ga singkron, masuk pakai nomor KK baru gabisa, pakai KK lama error. Terus saya harus daftarin anak saya ke KK saya bagaimanaaa???"
Kartika Kevin,1,2025-03-16 07:47:37,Aplikasi sangat lemot
Dewi Nitia,5,2025-03-12 02:49:05,"Amazed sekali sama aplikasi dukcapil ini. One solution. Saya pengajuan akte kematian tgl 8 maret 2025. Tgl 12 clear semua dari akte kematian, ktp baru, dan KK baru. Semoga selalu konsisten terus kedepannya."
Heru Murdiyanto,1,2025-03-08 04:07:43,Saya dari kemaren2 buat pengajuan pindah KK tidak bisa terus. Kendalanya di karenakan datang dukung ga lengkap katanya.padahal saya sdh bikin surat keterangan rumah sendiri tapi masih ga bisa.harus gmn cara buatnya??ribet banget mana ga ada pusat bantuanya lagi.. ??
SIGIT TS,5,2025-03-05 18:42:18,Good job 👍
Reysakha El saga,1,2025-03-03 07:45:53,"Aplikasi jembut, loading terus."
Gusti Sulaeha03,1,2025-03-03 04:00:09,Sistem layanan aplikasi BURUKK!!!! SELALU ERORR!!! Kalo buat aplikasi lebih TELITI!! informasi APLIKASI HARUSS JELASS!!! Proses jugaaa lamaaa RIBETT!!! TIDAK MEMPERMUDAH MALAH MEMPERSULIT!! UNTUK MENU KOTA/KABUPATEN TIDAK LENGKAP!!! MOHON DIPERBAIKI!!
Dessy Kusuma,1,2025-02-25 03:27:50,Astaga aplikasi apaan ini bukannya mempermudah malah mempersyulit tidak membantu sama sekali leletnya pollll huftttt
Rezha Cahyanto,1,2025-02-21 14:46:18,"Kalaw belum siap digitalisasi mending manual aja lah min .. Kalaw stay di Semarang bisa bolak balik tanyak ke dukcapil.. Say yg perantauan susah mau buat KTP baru , mau minta surat pindah dll .. Keluarga di Semarang juga ke dukcapil suruh ke APK gak jelas ini .. Tiba di ikuti APK gak jelas ini LAMA BETUL PROSES NYA .. BELUM DIGITALISASI MENDING MANUAL LAGI"
data amar,1,2025-02-19 03:28:16,"loding lama bgt, sinyal bagus, kuota ada, knpa eror gelap doang"
wswd23,1,2025-02-13 15:46:52,Ingin ku teriaaaaaak !!!! Katanya online itu mempermudah dan mempercepat. Tapi apa?? Ini tidak sama sekali malah ke balikannya. Tadinya udah positif thinking aja mikir orang kasih rating jelek karena sinyal dll. Tapi ternyata emang seperti itu. Bubarin pegawainya aja kalau kygni mah. Makan gaji buta aja.
Auliaratna Sari,1,2025-02-13 14:23:35,Aplikasi gak mutu
Lestari,1,2025-02-12 07:09:31,"Sebenarnya gak ribet, yg ribet itu lamaaaaa loadingnya kdg malah g kebaca datanya dan g bs diapa2in. Sistemnya dimodalin biar fast dan gak super lelettt."
Tata Silvia,1,2025-02-10 06:02:35,buat aplikasi harusnya mempermudah masyarakat bukan malah makin ribet mana terlalu lama . tolong diperbaiki . lebih cepat sebelumnya lsg ke kantor tidak perlu aplikasi² seperti ini👎
Ahmad Sholihin,2,2025-02-06 17:27:12,Ok selalu
dwi wulan nur aisah,1,2025-02-06 06:28:31,"Bikin ribet malah kalau mau buat surat"" untuk kependudukan. Lebih cepat kalau di urus datang ke kantor dukcapilnya langsung. Biasanya pakai online itu lebih cepat sama menghemat waktu, kok ini malah lebih lama keterangan di aplikasi cuma data bbelum di verifikasi,sudah diverifikasi tapi statusnya ditolak sudah 3 kali revisi👎👎"
albeta feriyan,2,2025-02-03 09:29:44,Ribet banget sih ini wkwk mending bikin aplikasi daftar calo ngurus surat surat dah daripada aplikasi online yg belum siap kek gini
Alkha28 Muhammad,1,2025-01-26 10:12:55,Kemarin ngurus malah bingung
Hendara Fransjaya,1,2025-01-26 05:14:26,Applikasi crash (26/01/25)
Dewi GBC,1,2025-01-23 02:31:36,Aplikasi ini sebetulnya mau mempermudah apa malah mempersulit sih..aplikasi kok rak cetho
Star Cell,1,2025-01-21 12:30:51,"aplikasi rusak,mau daftar gk bisa bisa,padahal data sdh bener semua minta tolong solusinya bagaimana ini?"
Bintang Ridwan Saputra,1,2025-01-10 03:38:11,lama pol nauzubillah
Sendang Keramat,5,2025-01-09 07:46:10,"Terimakasih team, sudah ada perubahan status pada pengajuan saya. Saya harap apk ini akan terus berkembang menjadi lebih baik, terimakasih."
Oky Prayoga,3,2025-01-08 01:52:23,Trobel kalau aplikasi jarang dibuka
Didik Aprlynto,1,2025-01-08 01:33:24,percuma bikin aplikasi disuruh daftar katanya biar cepet eh malah nyusahin nunggu di verifikasi nunggu disetujui aplikasi ga berguna developer nya mana ini?
cicilia sherly,1,2025-01-07 10:11:41,yaampun lama bgt udh 2 hari ga ada respon
Salsa Nada,1,2025-01-03 10:03:02,Aplikasi nggk jelas. Pelayanannya lelet. Malah mempersulit.
Sall Biill,1,2025-01-03 05:32:30,"Semenjak ada layanan online, pengajuan data di proses lama dan tidak segera di proses"
Yohanes Budi Setiawan,1,2024-12-31 04:09:24,Riiiibeeetttt... percuma petugas dibayar kalau kami harus ngisi semua form sndiri.. .. aplikasi pengajuan lama.. .. mau ganti biodata penambahan anak nunggu NIK di akte lahir keluar dlu.. kan gak praktis sama sekali.. .. Laaaamaaa... Ayoolah pemerintah.. udah gtu di kelurahan di kecamatan.. ga diinfo sama sekali.. .. LAMAAA.. RIBEETT.. EMOSIII... KESUUUEEENNNNN POLL
Arie Wibowo,1,2024-12-30 05:23:42,"Aplikasi bukannya mempermudah malah mempersulit,yg katanya untuk memangkas antrian nyatanya malah terjebak antrian banyak dan petugasnya cuma 1 orang di kecamatan Gajahmungkur semarang"
Edy Setia,1,2024-12-24 05:59:08,"Aplikasi kurang matang, pengerjaan lama, keterangan proses ga jelas, tidak ada pusat bantuan👎🏻"
shandy,1,2024-12-24 01:22:36,Tolol
Anita Azhari,1,2024-12-23 11:37:26,APLIKASI RIBET GAK JELASSSSS
fajar putra,1,2024-12-20 11:35:47,Sangat sangat lama . Kalo semua harus lewat online tapi waktu proses saja butuh berhari hari kalo emang belum siap online lebih baik kembali ke kecamatan seperti dulu dari pada aplikasi malah bikin mempersulit dan lama
Aldy Fauzi Wibisono,1,2024-12-20 04:39:15,Verifikasi dan proses terlalu lama mungkin 1 tahun
FAHRUDINALI AHMAD56,5,2024-12-19 06:57:12,☺️
Achmad Robboi,1,2024-12-13 08:39:24,Tutup aja aplikasi tidak membantu makah mempersulit
Dimas,1,2024-12-13 02:33:14,"Om, mbok yo nek nggawe aplikasi ampun eror"", mesti nek nggawe aplikasi kok eror terus, raiso Nglebokke data dsb, trus nek wes eror meh pie??"
War So,3,2024-12-10 03:07:42,Ok
Paul Kf,1,2024-12-09 10:43:59,Ribet
Segar Haryono,5,2024-12-09 07:53:50,Sangat bermanfaat
Pri Yono,5,2024-12-08 14:03:20,Sangat membantu dalam pembuatan data kependudukan
Siti Rahcmah,4,2024-12-05 19:42:18,ok
A A,2,2024-12-05 05:30:42,aplikasi ga bisa di buka ke force close
Duwi Hadi,1,2024-12-05 04:04:09,"Apk opooooo iki meh regristrasi wae angel mending hapus wae apk bosok, mending manual wae mesake sing wong gak duwe hp, jiangkrik"
Alif Sulton,5,2024-12-04 12:46:10,mantap
Duta Saputrajaga,5,2024-12-01 06:53:28,Mau bikin kai anak
Abdul Zumroni,1,2024-11-29 14:51:16,"Susah masuknya,ribet untuk pendaftarannya,sering eror"
mayer ebed,1,2024-11-25 04:45:54,"aplikasi ga jelas,ribetnya minta ampun mau ngurus ini itu makin susah"
koko jecko,1,2024-11-23 03:36:03,"Biasanya pakai online itu lebih cepat sama menghemat waktu, kok ini malah lebih lama keterangan di aplikasi cuma data bbelum di verifikasi. Bikin ribet malah kalau mau buat surat"" untuk kependudukan. Lebih cepat kalau di urus datang ke kantor dukcapilnya 👎👎"
Yusuf Syifaul walidain,1,2024-11-21 08:31:16,Ngisi data akte jenis kelamin laki laki.malah berubah jadi perempuan waktu jadi.py karepe !
Faisal Anas,1,2024-11-21 03:30:46,Ribet
Eskobar,4,2024-11-17 13:34:17,"Tolong lebih dipermudah lagi, beberapa kali error login, padahal ping WiFi saya rendah, sinyal stabil untuk main MOBA. Saran saya untuk login gunakan sidik jari dan face recognition aja, agar SAT.. SET.. gk pake lama. Time is money!."
Isti Juhariyah,5,2024-11-16 13:58:23,Suka
Yenny Rusmawati,2,2024-11-14 03:24:37,"Tolong,benerin aplikasi nya udah daftar gak bisa terus"
Rochmi Yati,5,2024-11-13 05:24:50,Baru tau aplikasi si d'nok mudah dan cepat. Terimakasih bapak ibu sudah membantu proses dengan cepat 🙏
awang rahnawan,3,2024-11-11 01:14:01,fitur ektp kenapa ga ada
Koko Koko,1,2024-11-03 01:33:08,"ribeet,"
Teger Erikbudioni,1,2024-10-29 13:53:25,Tidak akurat masa ngurus surat pindah seminggu lebih gk jadi jadi
Didik Triantoro,1,2024-10-29 02:24:50,"lama sekali responnya,pengajuan ulang sedari tanggal 24 Oktober sampai hari ini blm di verifikasi. kalau tidur tuh malam,jangan tidur waktu siang saat kerja"
Dewi Maria,1,2024-10-25 05:05:17,"Aplikasi busuk Aplikasi nggak guna tidak membantu sama sekali, Sudah banyak bintang jelek nggak ada perbaikan"
Douglas Rivers,5,2024-10-25 04:59:22,"Luar biasa penanganan dari mba loket B dukcapil kota semarang, jl kanguru raya. Sangat cepat dan efesien sekali. 👍👍😁. Terima kasih.. See u"
Fendy Naulla,1,2024-10-24 14:52:46,"Hapus aja, pelayanan buruk,"
teateaq eq,5,2024-10-19 04:22:21,Sangat membantu sekali
ariefianto rinaldi,1,2024-10-18 06:13:54,Gak jelas instruksinya ganti² Pengajuan akta ditolak trus Pengajuan dari senin dilihat udh jumat Begitu revisi nunggu lg seminggu Gmn ini harusnya memudahkan malah jd ribet sekali
Danish Chanel,1,2024-10-18 04:01:54,"Sudah datang lmgsung ke kantor dukcapil sudah bwa berkas dri rt rw kelurahan kecamatan ,sampe kantor dukcapil mlah siru buat online dan ternyata Super Ribet ,isi data sudah bner tpi di tolak ,"
Laila,1,2024-10-17 09:48:39,Ga ada pesan dari email maupun wa..dilupa sandi malah halaman eror ...bukannya mempermudah malah mempersulit
Renisa Daffa,1,2024-10-17 09:18:36,"heran knp urus nya pakai aplikasi segala pdhal jg setiap ke dukcapil selalu sepi. klo emg semua skrng HARUS pake aplikasi ya mnimal yg satset lah ga buang"" waktu jd nya. di info katanya hanya 4-5 hari kerja tp udh 1 minggu lbih gaada perubhan data. dteng lngsung jg ktnya harus lwt aplikasi, trus yg di kantor krjanya ngapain? hadehh.. ngurus di dukcapil kota lain bs lgsung satset slesai 1 hari jd tpi ini dipersulit bgt buang"" waktu aja. mana pelayanan pegawai di dukcapil bnr"" jutekk"
tomi suharta,1,2024-10-17 03:55:06,Tidak ada menu lupa pasword
Iwan Santoso,1,2024-10-17 01:38:21,"Pengajuan udah 2 Minggu lebih ga ada kemajuan sama sekali,"
Raden mas Ompong,5,2024-10-14 03:57:35,sangat bagus
Madi Dracula,1,2024-10-13 16:08:52,Aplikasi busuk!!
Indra H (Ino),1,2024-10-10 22:43:56,"ora di gampangke ,malah di gawe ruwet tur angel polll ...aplikasi rak jelas"
Inaban Desu,1,2024-10-10 14:03:13,"Verifikasi akta kematian terlalu lama, ke kelurahan ngarahin ke aplikasi dan yg jaga kelurahan masa 1 orang yang lain mana pegawainya...? Masa di layanin suruh ke aplikasi kan seharusnya di layanin lgsg kan enak kitanya lgsg ke daducakpik lgsg biar lgsg di proses... Kaya gini ngulur waktu"
Kholik Nur,1,2024-10-09 06:31:32,Tiap daftar akun gagal terus...gak dpt email atau wa.
Huda Putra Prakoso,1,2024-10-09 06:18:05,"Pelajar buat Pemkot Kota Semarang , sebelum luncurkan aplikasi setidaknya ada sosialisasi dlu jangan dadakan"
mufied syah,2,2024-10-08 02:04:35,"kl sehabis LOGOUT, harus di uninstal/ hapus data dahulu sebelum masuk ke akun lain. kalau tidak nanti pengajuannya masih kecantol/ terbaca di akun sebelum nya. hati-hati utk yg LOGIN hp nya pinjam"
fredy saputro,5,2024-10-05 12:46:43,Good
yo andikaa,1,2024-10-01 07:47:40,"Pelayanan lama, cuma nunggu di verifikasi aja sampe 2 hari.. benahi lagi biar pelayanan nya cepat, nak gini malah nyusahin orang!!"
amatir berkarya,5,2024-09-25 10:19:08,Alhamdulillah keren
Freestyle Technology,1,2024-09-15 09:46:48,Busuk. Hapus aja ini gak guna
Irvan Triwibowo,1,2024-09-15 06:19:17,Aplikasi sangat sangat sangat merepotkan
Dedy tiya Cahya utama,1,2024-09-14 13:32:57,Dengan aplikasi ini pemerintah kerjanya semakin sedikit dan pengajuan apapun itu semakin lama bener ngak si? Soalnya saya pengajuan pindah hampir 2 minggu masih di proses tanpa tau kejelasannya sampai kapan!
Very Setiawan,1,2024-09-09 23:22:15,"ribet mau menambah anggota anak ,pilihan tambah anggota anak tidak ada"
Bajing Loncat,5,2024-09-07 02:48:54,"Aplikasi ini sangat membantu saya yg ada di Cilacap, dg aplikasi ini saya mengurus surat pindah tidak perlu ke Semarang...lwat Sidnok surat pindah BS di cetak sendiri...Terima Kasin Sidnok"
dhany setiawan,2,2024-09-06 23:49:22,👎
Ahmad Fuzi,1,2024-09-05 03:42:07,Parah online bukannya tambah cepat makin lama malahan. Verifikasi data memakan waktu lebih dr 2 minggu.
Dyah Widyasari,1,2024-09-04 09:32:03,Verifikasi gak masuk ke email atau wa. Disuruh login tapi belom mengisi password sama sekali
Rifky Hardian,1,2024-09-01 05:59:25,"Sangat buruk, bukan mempercepat cara mengurus berkas malah jadi semakin lama menunggu verifikasi."
pipinkhot 03,5,2024-08-31 14:53:27,Aplikasinya sangat membatu bagi pekerja yg gak ada waktu utk datang lgsg ke dukcapil 👍👍👍
Wina Ristiani,1,2024-08-30 02:10:52,"Aplikasinya TDK membantu.. Ribet sudah isi data lengkap dengan dokumen tp salah terus.. Revisi terus,, maunya gimana ini..?? Sangat BuRuK.."
MUHAMAT DIDIK SETIAWAN,5,2024-08-29 13:52:00,Ok
Bahari Akbar,1,2024-08-28 14:31:45,Pelayanan jadi terlalu lama 1 x 24 tidak ada tindakan sama sekali pada hari kerja. Terimakasih.
Sri Wahyu Ningsih,1,2024-08-24 11:27:41,"jelekkk bangettt mau daftar/login gabisaa, masa aplikasi pemerintah kaya bgnii,kalah sama aplikasi lain"
miftakhul huda,3,2024-08-23 12:10:42,Aplikasi ini apakah masih jalan? Pengajuan sudah 2 hari belum ada kelanjutannya ya
Alfian Aulya Rachman,2,2024-08-22 08:07:54,Tolong buat semacam flowchart pengurusan dokumen penerbitan KK Baru untuk penduduk pindah karena membingungkan dan bimbingan dari anak magang malah salah
Maxim 789,1,2024-08-16 04:43:33,"Terlalu lama prosesnya, warga Semarang merasa tidak di hargai. Bukan mempercepat tapi malah memperlambat prosesnya."
Rifchi Hendri,1,2024-08-15 10:41:47,"tidak mempermudah tapi malah mempersulit, 2x bolak balik ke dukcapil tapi disuruh proses di aplikasi 4 hari blm diproses tau² ada notif ditolak keterangan petunjuk kurang jelas kenapa kalau ke kantor tidak bisa di proses dan harus di aplikasi, apakah sudah tidak bisa proses seperti dulu ke kantor dukcapil ?"
Fitria Maulani,1,2024-08-13 08:51:43,"Sudah daftar tapi tidak dapat email maupun WA untuk password, mau daftar lagi ga bisa krn sudah terdaftar tp ga dapat password, lupa password ga dapet email maupun WA juga, bukannya mempermudah malah mempersulit"
Desma Amalia,1,2024-08-13 05:57:09,"saya pikir dengan cara menggunakan aplikasi ini lebih efisien. tapi salah besar, mengulur waktu. berkas tidak segera di apply. harus comment lwt ig dlu baru direspon. sungguh amat sangat disayangkan. lebih baik offline menunggu sehari , berkas selesai. drpd seperti ini , terlihat bertele tele."
Lokius William Tanikwele,1,2024-08-13 02:41:47,"Aplikasi buosok, keliatan aplikasi nekh budget dikorupsi server e milih sing buosok!!!!!!!"
ANDARIKA,1,2024-08-12 04:55:04,aplikasi tidak fast respon
Aulia Sekar,1,2024-08-08 15:27:08,Berulang kali mendaftar tapi ttep gabisa! Udh diteliti lagi tapi tetep sama aja Pemerintah bukannya mempermudah malah mempersulit!!!!!
Dhinar Agil Tarashea,1,2024-08-08 03:28:21,Lemot.
Devi Ustanty,1,2024-07-31 00:32:54,Aplikasi perlu banyak perbaikan. Bagian isi otomatisnya tidak akurat. Tidak ada pemberitahuan sebelumnya kalau pelapor harus keluarga kandung. Sedangkan ada pilihan bahwa pelapor boleh orang lain (lainnya). Semoga bisa segera diperbaiki. Agar tidak mempersulit masyarakat untuk mengurus data. Karna sudah meluangkan waktu untuk mengurus offline malah dipaksa untuk mengurus online. Sedangkan mengurus online sarananya kurang memadai. Tidak ada sosialisasinya.
